ORDER,FAMILY,GENUS,SPECIES,NUMB,SNST,STRAT,CNTAB,REL,MIN,QMIN,MAX,MIDPT-ELEV,QMAX,CP,RP,SUB,MICRO,NHAB,NZOO,HAB1,HAB2,HAB3,HAB4,HAB5,HAB6,HAB7,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,N11,N12,N13,N14,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,GAN,LAN,BSR,MPL,PAS,MAH,GCS,CDH,CHO,EPC,STP,NAN,CAN,SAN,NSA,TEP,AMN,AMS,CSA,ATL,PAM,PAT
PASSERIFORMES,TYRANNIDAE,Myiarchus,cephalotes,2637,L,M/C,MM,U,800,,3000,2200,,4,3,,,2,2,F4E,F15,,,,,,,,,E,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,apicalis,2635,L,M/C,UT,F,400,,2300,1900,,4,3,,,4,2,F7,F8,F1E,F15,,,,E,,,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,cinerascens,2638,L,U/C,LT,C,0,,2200,2200,+,4,3,,,4,4,N1,N2,F8,F7E,,,,,,,,,,E,Y,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,,,,,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,barbirostris,2636,L,M/C,HT,F,0,,2000,2000,,3,3,JAM,,3,1,F1,F4,F15,,,,,Y,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,validus,2653,L,M/C,HT,U,0,,2000,2000,,3,2,JAM,,3,1,F1,F4,F15,,,,,Y,,,Y,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,nuttingi,2643,M,U/M,LT,F,0,,1800,1800,+,4,3,,,4,2,F7,F8,N1,N14,,,,,,,,,,Y,Y,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,stolidus,2649,L,M/C,LT,F,0,,1800,1800,+,4,3,o,,4,1,F7,F15,F1E,F14,,,,E,,,,,,Y,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,swainsoni,2650,L,M/C,LT,F,0,,1700,1700,,4,3,,,4,5,F1E,F8,F15,F7,,,,E,,,,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,Y,Y,Y,Y,
PASSERIFORMES,TYRANNIDAE,Myiarchus,tyrannulus,2652,L,M/C,LT,F/C,0,,1700,1700,+,4,3,,,6,7,F7,F8,F15,N1,F14,F12,,,,,,,,Y,Y,,,,Y,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,,Y,,,,,,,,Y,,Y,,Y,Y,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,magnirostris,2641,M,M/C,LT,F,0,,1500,1500,,4,3,GAL,,2,1,F7,N1,,,,,,,,,,,,Y,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,phaeocephalus,2646,L,M/C,HT,F,0,,1500,1500,,4,3,MAN,,2,1,F7,F8,,,,,,,,,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,sagrae,2647,L,M/C,LT,F,0,,1500,1500,+,4,3,o,,4,1,F1,F15,F10,F14,,,,Y,,,,,,,,,Y,,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,panamensis,2645,L,M/C,LT,F,0,,1400,1400,,4,3,,,5,2,F7,F8,F15,F14,N1,,,,,,,,,Y,Y,,,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,,,,,
PASSERIFORMES,TYRANNIDAE,Myiarchus,ferox,2640,L,M/C,LT,F,0,,950,950,,4,3,,,4,6,F3,F8,F1E,F15,,,,E,,Y,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,Y,
PASSERIFORMES,TYRANNIDAE,Myiarchus,nugator,2642,L,M/C,LT,F,0,,900,900,?,4,3,o,,2,1,F1,F15,,,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,
